iter	RMSE
179	0.1995895885
180	0.1993827276
181	0.1991653396
182	0.1988541322
183	0.1985522776
184	0.1983304669
185	0.1980334486
186	0.1977681566
187	0.1976357729
188	0.1973786066
189	0.1971334573
190	0.196880386
191	0.1965107225
192	0.1961010909
193	0.195842672
194	0.1956286512
195	0.1954969686
196	0.1951988607
197	0.195023003
198	0.194642995
199	0.1945672375
200	0.1943104909
201	0.194112361
202	0.1939513301
203	0.1937017161
204	0.1935681121
205	0.1933284314
206	0.1932452335
207	0.1929632777
208	0.1926874039
209	0.1925154855
210	0.1922475311
211	0.192012689
212	0.1917467952
213	0.1915798636
214	0.1913494901
215	0.1911200716
216	0.1908886308
217	0.1908239429
218	0.1906334161
219	0.1904057114
220	0.1902208962
221	0.1900335577
222	0.1900259684
223	0.1898673422
224	0.1897910022
225	0.1895169313
226	0.1893911179
227	0.18908874
228	0.1888726076
229	0.1888405355
230	0.1887872107
231	0.1886410129
232	0.1885155816
233	0.1882911906
234	0.188098346
235	0.1878641015
236	0.1875297511
237	0.1874430942
238	0.1873660441
239	0.1873024132
240	0.187274771
241	0.1870999667
242	0.1869664315
243	0.1869202677
244	0.1867377687
245	0.1864731304
246	0.1863257521
247	0.1861217281
248	0.1859983084
249	0.1858180524
250	0.1856710706
251	0.1854139091
252	0.18520199
253	0.1850771142
254	0.1849171982
255	0.1848977899
256	0.1846011836
257	0.1845554987
258	0.1844180189
259	0.1842589692
260	0.1842283786
261	0.1840442573
262	0.1840374649
263	0.1839951448
264	0.1838426078
265	0.1838180304
266	0.1836886988
267	0.1836001226
268	0.1834017907
269	0.1833788504
270	0.1833561921
271	0.1833512773
272	0.1833071982
273	0.1832806909
274	0.1832697914
275	0.18321215
276	0.1830964973
277	0.1830613394
278	0.1828665384
279	0.182811228
280	0.1826017432
281	0.1825797336
282	0.1824124334
283	0.1823882358
284	0.1822389836
285	0.1821088642
286	0.1820796963
287	0.1820166595
288	0.181945426
289	0.1819223068
290	0.1819115852
291	0.1818042826
292	0.1816494525
293	0.1816147187
294	0.1815847858
295	0.1814461981
296	0.1812670567
297	0.1812212428
298	0.1811850478
299	0.1811594029
300	0.1811208804
301	0.1809979946
302	0.1809270102
303	0.1808608937
304	0.1807879849
305	0.180754996
306	0.1806325108
307	0.1805682898
308	0.1805312041
309	0.1805083465
310	0.1804269924
311	0.1803985791
312	0.1803668542
313	0.1803355324
314	0.1801800516
315	0.1801172708
316	0.1800851897
317	0.1800582979
318	0.180010727
319	0.1799713859
320	0.1799331847
321	0.1799158879
322	0.1798977789
323	0.1798363192
324	0.1797808929
325	0.179763377
326	0.1796540175
327	0.1795512119
328	0.1792911985
329	0.1792261952
330	0.1791492501
331	0.1791322683
332	0.1791133927
333	0.1790956787
334	0.1790596558
335	0.1790513726
336	0.1790216316
337	0.1790018622
338	0.1787858507
339	0.1787695583
340	0.178637839
341	0.178608492
342	0.1785554947
343	0.1785395026
344	0.1784638373
345	0.178167392
346	0.1781470088
347	0.1781125659
348	0.1780464078
349	0.1779374896
350	0.1778706929
351	0.177849068
352	0.1778448926
353	0.1778407433
354	0.177824893
355	0.1777502105
356	0.1776650324
357	0.1775828701
358	0.1773017865
359	0.1772679144
360	0.1772007801
361	0.177178039
362	0.1770648148
363	0.1770607745
364	0.1770298596
365	0.1770005543
366	0.1768796678
367	0.1768059458
368	0.1766906733
369	0.1766704576
370	0.1766270316
371	0.176324198
372	0.176320094
373	0.1762619022
374	0.1762004708
375	0.1761945516
376	0.1761287266
377	0.1761060841
378	0.1760741873
379	0.1760681462
380	0.175953386
381	0.1758935459
382	0.1756517438
383	0.1755346699
384	0.1754262817
385	0.1753160241
386	0.1751478361
387	0.1751440488
388	0.1751403981
389	0.1749031716
390	0.1748240593
391	0.1748076977
392	0.1748041197
393	0.1747078407
394	0.1744912791
395	0.1743797263
396	0.1742995671
397	0.174204685
398	0.1740443465
399	0.1739363849
400	0.1739323064
401	0.1738659016
402	0.1737544675
403	0.1737494819
404	0.1737458107
405	0.1736386869
406	0.1734930801
407	0.1733526242
408	0.1731866703
409	0.1729362003
410	0.1727235446
411	0.1725147698
412	0.1725095367
413	0.1725061164
414	0.1725007247
415	0.172437802
416	0.1723054503
417	0.1723020849
418	0.1721049417
419	0.1718378575
420	0.1718284104
421	0.1717283809
422	0.1716150776
423	0.1715966159
424	0.1713289236
425	0.1712396237
426	0.1712360909
427	0.1710901978
428	0.1709084682
429	0.1707980017
430	0.1707948444
431	0.1707913969
432	0.1707872609
433	0.1707841535
434	0.1705390735
435	0.1702702577
436	0.1701682805
437	0.1701278901
438	0.1700230304
439	0.1699916231
440	0.1699427853
441	0.1696431847
442	0.1696054484
443	0.1693904037
444	0.1693864709
445	0.1691667472
446	0.1688896035
447	0.1687498725
448	0.1687459931
449	0.168423978
450	0.1681667223
451	0.1681113037
452	0.168106929
453	0.1677602048
454	0.1675041194
455	0.1672677658
456	0.1671428473
457	0.1670447732
458	0.1670406468
459	0.1668305033
460	0.1665580394
461	0.166340874
462	0.1661036823
463	0.1658699678
464	0.1658232541
465	0.1658204816
466	0.165653196
467	0.1656224699
468	0.165510928
469	0.1654621473
470	0.1654594028
471	0.1654567398
472	0.1653486657
473	0.1653447286
474	0.1652091639
475	0.1652053066
476	0.1650848746
477	0.1648022698
478	0.164798419
479	0.1647952997
480	0.1646388805
481	0.1645654871
482	0.1644610333
483	0.1644580676
484	0.1642256366
485	0.1641362741
486	0.1640567403
487	0.1638565464
488	0.163812618
489	0.1638086274
490	0.1637410179
491	0.1635179699
492	0.16325289
493	0.1630653321
494	0.1628328619
495	0.1628304256
496	0.1627590005
497	0.1625742578
498	0.1623860627
499	0.1621754471
